date,product,category,price,quantity,revenue
1/1/2022,Smartphone,Electronics,600,10,6000
1/1/2022,Laptop,Electronics,1200,5,6000
1/2/2022,T-Shirt,Clothing,20,50,1000
1/3/2022,Headphones,Electronics,100,20,2000
1/4/2022,T-Shirt,Clothing,20,25,500
1/5/2022,Watch,Accessories,150,10,1500
1/6/2022,Smartphone,Electronics,600,8,4800
1/6/2022,Tablet,Electronics,400,5,2000
1/7/2022,Coat,Clothing,100,10,1000
1/8/2022,Smartwatch,Accessories,200,12,2400
1/9/2022,Speaker,Electronics,80,15,1200
1/10/2022,Backpack,Bags,50,20,1000
1/11/2022,Hoodie,Clothing,40,30,1200
1/12/2022,Smartphone,Electronics,600,12,7200
1/13/2022,Sneakers,Shoes,80,10,800
1/14/2022,Wallet,Accessories,30,40,1200
1/15/2022,Jeans,Clothing,50,20,1000
1/16/2022,Smartwatch,Accessories,200,5,1000
1/17/2022,Smartphone,Electronics,600,6,3600
1/18/2022,Coat,Clothing,100,8,800
1/19/2022,Speaker,Electronics,80,20,1600
1/20/2022,Backpack,Bags,50,15,750
1/21/2022,T-Shirt,Clothing,20,40,800
1/22/2022,Smartphone,Electronics,600,7,4200
1/23/2022,Tablet,Electronics,400,3,1200
1/24/2022,Hoodie,Clothing,40,15,600
1/25/2022,Smartwatch,Accessories,200,8,1600
1/26/2022,Sneakers,Shoes,80,12,960
1/27/2022,Coat,Clothing,100,5,500
1/28/2022,Speaker,Electronics,80,8,640
1/29/2022,T-Shirt,Clothing,20,30,600
1/30/2022,Smartphone,Electronics,600,9,5400
1/31/2022,Jeans,Clothing,50,15,750
2/1/2022,T-Shirt,Clothing,20,35,700
2/2/2022,Smartphone,Electronics,600,10,6000
2/3/2022,Headphones,Electronics,100,25,2500
2/4/2022,Coat,Clothing,100,12,1200
2/5/2022,Watch,Accessories,150,8,1200
2/6/2022,Smartphone,Electronics,600,7,4200
2/7/2022,Speaker,Electronics,80,18,1440
2/8/2022,Backpack,Bags,50,25,1250
2/9/2022,Smartwatch,Accessories,200,6,1200
2/10/2022,Jeans,Clothing,50,10,500
2/11/2022,T-Shirt,Clothing,20,20,400
2/12/2022,Smartphone,Electronics,600,12,7200
2/13/2022,Sneakers,Shoes,80,8,640
2/14/2022,Wallet,Accessories,30,30,900
2/15/2022,Tablet,Electronics,400,4,1600
2/16/2022,Smartwatch,Accessories,200,7,1400
2/17/2022,Smartphone,Electronics,600,6,3600
2/18/2022,Hoodie,Clothing,40,20,800
2/19/2022,Speaker,Electronics,80,12,960
2/20/2022,Backpack,Bags,50,18,900
2/21/2022,Sneakers,Shoes,80,5,400
2/22/2022,Smartphone,Electronics,600,8,4800
2/23/2022,Coat,Clothing,100,6,600
2/24/2022,T-Shirt,Clothing,20,15,300
2/25/2022,Smartwatch,Accessories,200,10,2000
2/26/2022,Jeans,Clothing,50,18,900
2/27/2022,Smartphone,Electronics,600,9,5400
2/28/2022,Watch,Accessories,150,5,750
3/1/2022,T-Shirt,Clothing,20,40,800
3/2/2022,Smartphone,Electronics,600,10,6000
3/3/2022,Headphones,Electronics,100,15,1500
3/4/2022,Coat,Clothing,100,20,2000
3/5/2022,Smartwatch,Accessories,200,12,2400
3/6/2022,Smartphone,Electronics,600,7,4200
3/7/2022,Speaker,Electronics,80,10,800
3/8/2022,Backpack,Bags,50,15,750
3/9/2022,Jeans,Clothing,50,25,1250
3/10/2022,T-Shirt,Clothing,20,30,600
3/11/2022,Hoodie,Clothing,40,10,400
3/12/2022,Smartphone,Electronics,600,12,7200
3/13/2022,Sneakers,Shoes,80,15,1200
3/14/2022,Wallet,Accessories,30,40,1200
3/15/2022,Smartwatch,Accessories,200,5,1000
3/16/2022,Smartphone,Electronics,600,6,3600
3/17/2022,Coat,Clothing,100,8,800
3/18/2022,Speaker,Electronics,80,20,1600
3/19/2022,Backpack,Bags,50,10,500
3/20/2022,T-Shirt,Clothing,20,25,500
3/21/2022,Tablet,Electronics,400,3,1200
3/22/2022,Smartphone,Electronics,600,7,4200
3/23/2022,Sneakers,Shoes,80,12,960
3/24/2022,T-Shirt,Clothing,20,15,300
3/25/2022,Smartwatch,Accessories,200,8,1600
3/26/2022,Jeans,Clothing,50,20,1000
3/27/2022,Smartphone,Electronics,600,9,5400
3/28/2022,Watch,Accessories,150,10,1500
3/29/2022,Coat,Clothing,100,5,500
3/30/2022,Headphones,Electronics,100,10,1000
3/31/2022,Smartphone,Electronics,600,11,6600
4/1/2022,Hoodie,Clothing,40,30,1200
4/2/2022,Smartphone,Electronics,600,10,6000
4/3/2022,Speaker,Electronics,80,25,2000
4/4/2022,Coat,Clothing,100,15,1500
4/5/2022,Smartwatch,Accessories,200,10,2000
4/6/2022,Smartphone,Electronics,600,7,4200
4/7/2022,Backpack,Bags,50,18,900
4/8/2022,T-Shirt,Clothing,20,35,700
